Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
62.8,55.51,55.51,0.00,0,0,0,0
380.6,48.31,48.31,0.00,0,0,0,0
540.6,40.11,40.11,0.00,0,0,0,0
587.5,34.72,34.72,0.00,0,0,0,0
643.8,39.53,39.53,0.00,0,0,0,0
691.1,35.71,35.71,0.00,0,0,0,0
743.2,38.05,38.05,0.00,0,0,0,0
788.8,31.32,31.32,0.00,0,0,0,0
831.8,26.00,26.00,0.00,0,0,0,0
882.1,26.91,26.91,0.00,0,0,0,0
932.4,27.16,27.16,11.08,0,0,0,0
984.5,26.35,26.35,11.08,0,0,0,0
1031.3,25.78,25.78,11.08,0,0,0,0
1082.1,28.00,28.00,11.08,0,0,0,0
1132.5,28.25,28.25,11.08,0,0,0,0
1184.3,27.19,27.19,11.08,0,0,0,0
1234.8,27.73,27.73,11.08,0,0,0,0
1283.5,30.04,30.04,11.08,0,0,0,0
1331.4,27.15,27.15,11.08,0,0,0,0
1383.8,28.91,28.91,11.08,0,0,0,0
1431.6,23.84,23.84,20.03,0,0,0,0
1488.7,34.54,34.54,20.03,0,0,0,0
1534.7,31.12,31.12,20.03,0,0,0,0
1587.3,28.05,28.05,20.03,0,0,0,0
1630.8,26.92,26.92,20.03,0,0,0,0
1682.3,28.78,28.78,20.03,0,0,0,0
1733.5,29.86,29.86,20.03,0,0,0,0
1783.7,30.17,30.17,20.03,0,0,0,0
1832.5,26.12,26.12,20.03,0,0,0,0
1881.9,30.45,30.45,20.03,0,0,0,0
1932.1,30.41,30.41,20.10,0,0,0,0
1985.1,33.57,33.57,20.10,0,0,0,0
2032.3,24.88,24.88,20.10,0,0,0,0
2083.6,28.85,28.85,20.10,0,0,0,0
2134.4,30.23,30.23,20.10,0,0,0,0
2185.2,30.82,30.82,20.10,0,0,0,0
2233.6,28.01,28.01,20.10,0,0,0,0
2283.3,29.90,29.90,20.10,0,0,0,0
2332.2,29.26,29.26,20.10,0,0,0,0
2383.3,29.42,29.42,20.10,0,0,0,0
2431.2,24.68,24.68,19.95,0,0,0,0
2482.2,29.01,29.01,19.95,0,0,0,0
2531.2,27.82,27.82,19.95,0,0,0,0
2583.0,29.14,29.14,19.95,0,0,0,0
2641.6,38.86,38.86,19.95,0,0,0,0
2682.5,29.24,29.24,19.95,0,0,0,0
2733.0,29.74,29.74,19.95,0,0,0,0
2784.2,29.74,29.74,19.95,0,0,0,0
2832.6,25.75,25.75,19.95,0,0,0,0
2882.0,26.78,26.78,19.95,0,0,0,0
2934.1,28.96,28.96,19.93,0,0,0,0
2984.9,25.02,25.02,19.93,0,0,0,0
3031.4,23.11,23.11,19.93,0,0,0,0
3080.3,25.62,25.62,19.93,0,0,0,0
3131.9,26.97,26.97,19.93,0,0,0,0
3182.9,25.88,25.88,19.93,0,0,0,0
3230.6,21.56,21.56,19.93,0,0,0,0
3281.2,26.42,26.42,19.93,0,0,0,0
3331.4,26.43,26.43,19.93,0,0,0,0
3384.7,27.12,27.12,19.93,0,0,0,0
3430.8,24.86,24.86,20.01,0,0,0,0
3480.8,26.85,26.85,20.01,0,0,0,0
3531.3,26.83,26.83,20.01,0,0,0,0
3583.9,28.25,28.25,20.01,0,0,0,0
3631.4,24.95,24.95,20.01,0,0,0,0
3682.7,28.71,28.71,20.01,0,0,0,0
3732.2,27.97,27.97,20.01,0,0,0,0
3783.9,28.35,28.35,20.01,0,0,0,0
3830.8,26.89,26.89,20.01,0,0,0,0
3878.9,25.63,25.63,20.01,0,0,0,0
3935.1,32.24,32.24,20.07,0,0,0,0
3985.2,32.96,32.96,20.07,0,0,0,0
4029.7,25.16,25.16,20.07,0,0,0,0
4081.1,28.74,28.74,20.07,0,0,0,0
4130.6,28.42,28.42,20.07,0,0,0,0
4180.9,28.98,28.98,20.07,0,0,0,0
4230.7,23.07,23.07,20.07,0,0,0,0
4287.4,35.10,35.10,20.07,0,0,0,0
4334.8,32.74,32.74,20.07,0,0,0,0
4384.9,31.66,31.66,20.07,0,0,0,0
4432.1,27.06,27.06,20.00,0,0,0,0
4483.8,31.25,31.25,20.00,0,0,0,0
4534.1,31.19,31.19,20.00,0,0,0,0
4584.2,30.95,30.95,20.00,0,0,0,0
4632.2,25.86,25.86,20.00,0,0,0,0
4683.6,32.44,32.44,20.00,0,0,0,0
4732.4,31.01,31.01,20.00,0,0,0,0
4782.3,31.39,31.39,20.00,0,0,0,0
4832.7,25.05,25.05,20.00,0,0,0,0
4880.9,30.26,30.26,20.00,0,0,0,0
4930.5,29.20,29.20,20.07,0,0,0,0
4981.1,29.63,29.63,20.07,0,0,0,0
5030.5,24.55,24.55,20.07,0,0,0,0
5077.0,27.42,27.42,20.07,0,0,0,0
5128.9,29.33,29.33,20.07,0,0,0,0
5182.5,32.57,32.57,20.07,0,0,0,0
5232.9,31.43,31.43,20.07,0,0,0,0
5277.1,27.77,27.77,20.07,0,0,0,0
5326.3,27.18,27.18,20.07,0,0,0,0
5380.0,31.12,31.13,20.07,0,0,0,0
5431.5,27.94,27.94,20.11,0,0,0,0
5476.4,28.29,28.29,20.11,0,0,0,0
5527.3,28.78,28.78,20.11,0,0,0,0
5579.1,30.01,30.01,20.11,0,0,0,0
5630.4,24.79,24.79,20.11,0,0,0,0
5673.6,26.25,26.25,20.11,0,0,0,0
5725.8,27.93,27.93,20.11,0,0,0,0
5776.0,28.61,28.61,20.11,0,0,0,0
5827.6,26.21,26.21,20.11,0,0,0,0
5871.9,26.36,26.36,20.11,0,0,0,0
5923.9,28.38,28.38,20.12,0,0,0,0
5975.0,29.25,29.25,20.12,0,0,0,0
6026.5,25.91,25.91,20.12,0,0,0,0
6070.3,25.49,25.49,20.12,0,0,0,0
6122.1,26.91,26.91,20.12,0,0,0,0
6173.6,28.14,28.14,20.12,0,0,0,0
6225.8,26.72,26.72,20.12,0,0,0,0
6272.5,27.25,27.25,20.12,0,0,0,0
6330.2,34.58,34.58,20.12,0,0,0,0
6376.4,33.05,33.05,20.12,0,0,0,0
6427.5,26.42,26.42,20.06,0,0,0,0
6470.1,26.04,26.04,20.06,0,0,0,0
6522.1,28.12,28.12,20.06,0,0,0,0
6573.3,28.70,28.70,20.06,0,0,0,0
6624.8,28.53,28.53,20.06,0,0,0,0
6671.6,24.87,24.87,20.06,0,0,0,0
6722.2,27.92,27.92,20.06,0,0,0,0
6772.5,28.22,28.22,20.06,0,0,0,0
6823.5,27.90,27.90,20.06,0,0,0,0
6878.7,30.77,30.77,20.06,0,0,0,0
