Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw
18:03:19.221,35.47,42.95,24.13,0.000,0.000,0.000,0.00,0.00,0.00
18:03:19.557,18.69,22.46,29.79,0.000,0.000,0.000,0.00,0.00,0.00
18:03:19.892,13.65,17.07,29.78,0.000,0.000,0.000,0.00,0.00,0.00
18:03:20.227,16.09,19.88,29.84,0.000,0.000,0.000,0.00,0.00,0.00
18:03:20.563,15.28,19.15,29.83,0.000,0.000,0.000,0.00,0.00,0.00
18:03:20.898,19.20,23.67,29.86,0.000,0.000,0.000,0.00,0.00,0.00
18:03:21.232,19.15,22.64,29.86,0.000,0.000,0.000,0.00,0.00,0.00
18:03:21.568,15.13,18.55,29.77,0.000,0.000,0.000,0.00,0.00,0.00
18:03:21.904,20.43,24.11,29.83,0.000,0.000,0.000,0.00,0.00,0.00
18:03:22.239,17.87,21.26,29.79,0.098,0.046,0.531,177.82,-2.46,8.46
18:03:22.575,16.10,20.49,29.81,0.081,0.001,0.541,179.52,-8.06,8.83
18:03:22.911,17.74,21.32,29.71,0.070,-0.013,0.530,177.14,-13.90,7.94
18:03:23.247,17.01,20.80,29.83,0.173,-0.026,0.502,174.33,-7.51,12.34
18:03:23.582,16.82,20.32,29.84,0.199,0.018,0.496,175.59,-4.68,13.23
18:03:23.917,16.03,21.30,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:24.252,16.96,20.20,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:24.587,20.45,24.03,29.81,0.000,0.009,0.502,173.86,-11.16,7.25
18:03:24.923,18.73,22.61,29.74,-0.129,-0.011,0.481,-173.96,-6.02,2.66
18:03:25.259,22.41,25.93,29.79,-0.152,-0.007,0.492,-172.96,-2.27,0.50
18:03:25.594,19.12,22.74,29.82,-0.164,0.007,0.488,-174.34,-7.83,0.89
18:03:25.930,15.06,19.72,29.83,-0.212,0.004,0.471,-168.72,-18.97,0.24
18:03:26.266,17.47,20.80,29.76,-0.229,0.012,0.501,-165.04,-7.82,-1.61
18:03:26.601,19.02,22.63,29.83,-0.158,0.012,0.567,-166.37,7.17,-1.35
18:03:26.936,17.10,20.16,29.80,-0.078,0.015,0.589,-167.66,11.86,-2.54
18:03:27.271,18.29,22.01,29.84,-0.023,0.010,0.589,-168.09,18.93,-0.91
18:03:27.608,18.70,22.54,29.73,0.008,-0.077,0.583,-166.34,11.56,-0.82
18:03:27.943,19.00,22.65,29.79,0.019,-0.152,0.571,-166.98,9.70,0.02
18:03:28.280,16.38,20.00,29.75,0.029,-0.113,0.586,-175.47,6.62,-0.39
18:03:28.615,14.68,18.03,29.85,0.034,-0.014,0.597,173.17,4.53,0.14
18:03:28.950,16.74,20.62,29.84,0.036,0.115,0.535,171.68,22.21,-3.98
18:03:29.285,16.87,21.48,29.79,0.000,0.000,0.000,0.00,0.00,0.00
18:03:29.621,14.39,20.03,29.83,0.049,0.150,0.573,176.94,20.32,1.86
18:03:29.956,16.86,21.53,29.79,0.018,0.030,0.581,-167.48,16.24,6.49
18:03:30.292,17.06,20.36,29.81,0.011,-0.024,0.588,-165.84,18.99,7.40
18:03:30.627,19.73,23.36,29.82,0.070,0.017,0.580,-169.27,23.38,5.78
18:03:30.963,20.02,23.69,29.81,0.062,0.039,0.576,-170.94,13.68,4.01
18:03:31.298,15.62,20.87,29.84,0.015,0.017,0.579,-172.35,12.07,4.06
18:03:31.633,18.67,22.40,29.81,-0.015,0.009,0.580,-174.02,9.48,4.02
18:03:31.970,17.40,21.20,29.70,-0.062,0.091,0.575,-164.92,4.99,-2.82
18:03:32.309,18.81,22.17,29.46,-0.054,0.039,0.579,-157.14,7.69,-0.10
18:03:32.645,22.23,25.85,29.78,-0.059,-0.135,0.518,-152.10,0.80,4.77
18:03:32.980,15.22,20.14,29.83,0.000,0.000,0.000,0.00,0.00,0.00
18:03:33.316,16.49,19.82,29.78,-0.080,-0.138,0.536,-160.78,9.87,8.30
18:03:33.652,14.21,17.32,29.78,-0.079,0.004,0.547,178.81,9.90,0.10
18:03:33.988,16.99,20.70,29.76,0.000,0.000,0.000,0.00,0.00,0.00
18:03:34.324,15.03,18.95,29.80,0.000,0.000,0.000,0.00,0.00,0.00
18:03:34.659,21.65,25.35,29.82,0.000,0.000,0.000,0.00,0.00,0.00
18:03:34.996,17.80,21.03,29.69,0.000,0.000,0.000,0.00,0.00,0.00
18:03:35.332,14.85,18.23,29.72,0.000,0.000,0.000,0.00,0.00,0.00
18:03:35.667,17.72,21.42,29.83,0.000,0.000,0.000,0.00,0.00,0.00
18:03:36.003,15.83,19.68,29.83,0.000,0.000,0.000,0.00,0.00,0.00
18:03:36.338,16.64,20.69,29.80,0.000,0.000,0.000,0.00,0.00,0.00
18:03:36.673,14.84,18.39,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:37.008,15.02,19.15,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:37.344,17.19,21.04,29.80,0.000,0.000,0.000,0.00,0.00,0.00
18:03:37.679,20.17,24.05,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:38.014,16.25,19.25,29.86,0.000,0.000,0.000,0.00,0.00,0.00
18:03:38.350,17.09,20.94,29.77,0.000,0.000,0.000,0.00,0.00,0.00
18:03:38.685,18.19,21.80,29.80,0.000,0.000,0.000,0.00,0.00,0.00
18:03:39.020,16.71,20.51,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:39.356,18.18,21.33,29.80,0.000,0.000,0.000,0.00,0.00,0.00
18:03:39.691,15.48,19.82,29.85,0.000,0.000,0.000,0.00,0.00,0.00
18:03:40.026,16.21,20.14,29.82,0.000,0.000,0.000,0.00,0.00,0.00
18:03:40.362,16.82,20.78,29.81,0.000,0.000,0.000,0.00,0.00,0.00
18:03:40.697,15.90,19.01,29.86,0.000,0.000,0.000,0.00,0.00,0.00
18:03:41.032,23.47,28.90,29.82,0.000,0.000,0.000,0.00,0.00,0.00
18:03:41.368,15.54,18.94,29.79,0.000,0.000,0.000,0.00,0.00,0.00
18:03:41.703,19.32,23.00,29.84,0.000,0.000,0.000,0.00,0.00,0.00
18:03:42.038,16.83,20.24,29.84,0.000,0.000,0.000,0.00,0.00,0.00
