Timestamp,Algo_ms,Loop_ms,FPS,Body_X,Body_Y,Alt_Z,Marker_Yaw
17:09:22.753,33.54,37.95,22.05,0.003,0.004,0.783,2.76
17:09:23.121,38.45,42.56,27.18,0.003,0.004,0.783,2.76
17:09:23.481,34.15,37.88,27.71,0.003,0.004,0.783,2.76
17:09:23.849,34.59,38.56,27.19,0.003,0.004,0.783,2.76
17:09:24.212,34.57,38.53,27.57,0.003,0.004,0.783,2.76
17:09:24.577,35.71,39.68,27.43,0.003,0.004,0.783,2.76
17:09:24.958,39.43,42.86,26.23,0.003,0.004,0.783,2.76
17:09:25.323,32.51,36.06,27.35,0.003,0.004,0.783,2.76
17:09:25.692,34.83,38.12,27.14,0.003,0.004,0.783,2.76
17:09:26.083,37.26,40.66,25.59,0.003,0.004,0.783,2.76
17:09:26.439,36.56,41.56,28.08,0.003,0.004,0.783,2.76
17:09:26.805,40.59,43.97,27.29,0.003,0.004,0.783,2.76
17:09:27.169,41.88,45.22,27.45,0.002,0.004,0.782,2.54
17:09:27.524,33.42,36.82,28.16,0.003,0.004,0.783,2.76
17:09:27.885,35.04,38.53,27.72,0.003,0.004,0.783,2.76
17:09:28.257,43.46,46.77,26.88,0.003,0.004,0.783,2.76
17:09:28.623,35.78,40.63,27.36,0.003,0.004,0.783,2.76
17:09:28.991,36.34,39.94,27.13,0.003,0.004,0.783,2.76
17:09:29.355,36.36,39.81,27.50,0.003,0.004,0.783,2.76
17:09:29.716,38.46,41.98,27.68,0.003,0.004,0.783,2.76
17:09:30.078,37.58,40.75,27.62,0.003,0.004,0.783,2.76
17:09:30.453,36.47,41.26,26.72,0.003,0.004,0.783,2.76
17:09:30.820,38.24,43.02,27.18,0.002,0.004,0.782,2.54
17:09:31.192,37.07,41.82,26.91,0.002,0.004,0.782,2.54
17:09:31.554,33.30,36.78,27.60,0.002,0.004,0.782,2.54
17:09:31.945,41.55,45.59,25.60,0.002,0.004,0.782,2.54
17:09:32.323,34.47,38.07,26.46,0.002,0.004,0.782,2.54
17:09:32.691,36.95,41.42,27.16,0.002,0.004,0.782,2.54
17:09:33.083,49.16,52.87,25.53,0.002,0.004,0.782,2.54
17:09:33.455,34.60,37.85,26.84,0.002,0.004,0.782,2.54
17:09:33.829,46.98,50.40,26.73,0.003,0.004,0.783,2.76
17:09:34.187,35.28,38.81,27.94,0.003,0.004,0.783,2.76
17:09:34.569,39.11,42.50,26.18,0.002,0.004,0.782,2.54
17:09:34.940,38.99,42.16,26.99,0.003,0.004,0.783,2.76
17:09:35.302,31.62,36.39,27.64,0.003,0.004,0.783,2.76
17:09:35.669,36.05,39.39,27.25,0.003,0.004,0.783,2.76
17:09:36.027,33.04,37.20,27.88,0.003,0.004,0.783,2.76
17:09:36.391,33.79,37.40,27.49,0.003,0.004,0.783,2.76
17:09:36.752,33.59,37.00,27.69,0.003,0.004,0.783,2.76
17:09:37.113,34.01,37.40,27.74,0.003,0.004,0.783,2.76
17:09:37.477,35.72,39.21,27.47,0.003,0.004,0.783,2.76
17:09:37.836,34.01,37.48,27.86,0.003,0.004,0.783,2.76
17:09:38.192,33.81,37.32,28.09,0.002,0.005,0.782,2.50
17:09:38.566,36.75,40.28,26.70,0.002,0.005,0.782,2.50
17:09:38.938,36.41,41.55,26.93,0.002,0.005,0.782,2.50
17:09:39.304,34.69,38.76,27.32,0.003,0.004,0.783,2.76
17:09:39.669,33.60,37.02,27.38,0.003,0.004,0.783,2.76
17:09:40.043,36.19,39.48,26.77,0.003,0.004,0.783,2.76
17:09:40.417,36.75,40.19,26.70,0.002,0.005,0.782,2.50
17:09:40.784,36.60,41.32,27.24,0.002,0.005,0.782,2.50
17:09:41.155,35.51,38.84,26.96,0.002,0.005,0.782,2.50
17:09:41.534,41.06,45.81,26.39,0.002,0.005,0.782,2.50
17:09:41.905,34.35,38.21,26.95,0.002,0.005,0.782,2.50
17:09:42.276,38.76,43.39,26.98,0.002,0.005,0.782,2.50
17:09:42.659,39.26,42.48,26.10,0.002,0.005,0.782,2.50
17:09:43.032,33.85,37.22,26.77,0.003,0.004,0.783,2.76
17:09:43.402,37.17,40.89,27.02,0.003,0.004,0.783,2.76
17:09:43.764,37.61,40.81,27.63,0.003,0.004,0.783,2.76
17:09:44.145,38.13,42.82,26.29,0.003,0.004,0.783,2.76
17:09:44.519,32.22,35.69,26.70,0.003,0.004,0.783,2.76
17:09:44.881,31.63,35.08,27.63,0.003,0.004,0.783,2.76
