Timestamp,Algo_ms,FPS,Dist_m,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
11:26:21.306,56.0,18.3,0.00,0,0,0,0
11:26:22.115,46.4,18.5,0.00,0,0,0,0
11:26:22.935,43.3,18.3,0.00,0,0,0,0
11:26:23.736,35.1,18.7,0.00,0,0,0,0
11:26:24.537,45.8,18.7,0.00,0,0,0,0
11:26:25.335,39.6,18.8,0.00,0,0,0,0
11:26:26.114,38.8,19.2,0.00,0,0,0,0
11:26:26.905,40.9,19.0,0.00,0,0,0,0
11:26:27.682,54.5,19.3,0.00,0,0,0,0
11:26:28.487,45.1,18.6,0.00,0,0,0,0
11:26:29.274,39.2,19.1,0.00,169,-158,25,23
11:26:30.073,37.2,18.8,0.00,226,152,33,-22
11:26:30.851,40.1,19.3,0.00,-32,-61,-4,9
11:26:31.626,44.0,19.3,0.00,-26,-20,-3,3
11:26:32.381,45.4,19.9,0.00,235,16,35,-2
11:26:33.159,37.2,19.3,0.00,139,48,20,-7
11:26:33.955,50.5,18.8,0.00,-31,-2,-4,0
11:26:34.806,45.1,17.6,0.00,-18,11,-2,0
11:26:35.691,46.6,16.9,0.00,-238,-53,-35,7
11:26:36.503,39.0,18.5,0.00,-259,-17,-38,2
11:26:37.273,39.2,19.5,0.00,13,24,0,-3
11:26:38.065,41.7,18.9,0.00,24,8,3,0
11:26:38.865,36.8,18.8,0.00,33,-46,4,6
11:26:39.637,48.5,19.4,0.00,0,-17,0,2
11:26:40.407,38.7,19.5,0.00,4,8,0,0
11:26:41.170,36.6,19.7,0.00,3,7,0,0
11:26:41.939,41.2,19.5,0.00,3,-1,0,0
11:26:42.719,44.6,19.2,0.00,4,3,0,0
11:26:43.489,42.7,19.5,0.00,0,0,0,0
11:26:44.256,39.8,19.5,0.00,0,0,0,0
11:26:45.065,45.5,18.5,0.00,0,0,0,0
11:26:45.881,47.8,18.4,0.00,0,0,0,0
11:26:46.687,43.2,18.6,0.00,106,182,15,-27
11:26:47.480,45.8,18.9,0.00,-3,7,0,0
11:26:48.313,51.4,18.0,0.00,-20,-13,-3,0
11:26:49.145,45.7,18.0,0.00,-9,50,0,-7
11:26:50.007,59.5,17.4,0.00,-22,64,-3,-9
11:26:50.827,50.0,18.3,0.00,-28,93,-4,-13
11:26:51.625,46.7,18.8,0.00,-7,86,0,-12
11:26:52.450,49.9,18.2,0.00,-1,83,0,-12
11:26:53.292,41.9,17.8,0.00,0,83,0,-12
11:26:54.165,57.3,17.2,0.00,3,82,0,-12
11:26:54.987,48.8,18.3,0.00,58,-94,8,14
11:26:55.777,40.2,19.0,0.00,25,-137,3,20
11:26:56.580,44.2,18.7,0.00,10,-47,0,7
11:26:57.434,55.1,17.6,0.00,8,-76,0,11
11:26:58.263,50.6,18.1,0.00,-10,-74,0,11
11:26:59.124,54.0,17.4,0.00,-43,-134,-6,20
11:26:59.942,40.6,18.3,0.00,10,-142,0,21
11:27:00.715,42.1,19.4,0.00,-160,-39,-24,5
11:27:01.479,33.0,19.6,0.00,-42,93,-6,-13
11:27:02.251,37.7,19.4,0.00,31,-9,4,0
11:27:03.026,37.7,19.4,0.00,8,-15,0,0
11:27:03.793,38.1,19.6,0.00,4,-10,0,0
11:27:04.568,41.4,19.4,0.00,3,-11,0,0
11:27:05.327,42.3,19.8,0.00,-16,-27,-2,4
11:27:06.115,33.4,19.0,0.00,-220,-127,-33,19
11:27:06.878,36.4,19.7,0.00,-101,6,-15,0
11:27:07.659,35.6,19.2,0.00,0,23,0,-3
11:27:08.437,31.5,19.3,0.00,6,3,0,0
11:27:09.194,35.9,19.8,0.00,40,13,6,0
11:27:09.958,40.6,19.6,0.00,230,64,34,-9
11:27:10.724,28.4,19.6,0.00,126,50,18,-7
11:27:11.491,45.7,19.6,0.00,2,15,0,0
11:27:12.275,43.8,19.1,0.00,-20,-5,-3,0
11:27:13.050,41.1,19.4,0.00,-3,6,0,0
11:27:13.819,38.4,19.5,0.00,59,231,8,-34
11:27:14.588,44.6,19.5,0.00,41,233,6,-34
11:27:15.366,42.0,19.3,0.00,-15,44,0,-6
11:27:16.153,44.0,19.1,0.00,-11,-15,0,0
11:27:16.978,44.9,18.2,0.00,-1,-10,0,0
11:27:17.806,47.5,18.1,0.00,0,0,0,0
11:27:18.611,49.2,18.6,0.00,0,0,0,0
11:27:19.468,41.9,17.5,0.00,0,0,0,0
11:27:20.407,64.4,16.0,0.00,-152,-203,-22,30
11:27:21.207,36.8,18.8,0.00,-8,14,0,0
11:27:21.991,41.2,19.1,0.00,4,-1,0,0
11:27:22.775,51.0,19.1,0.00,-3,-18,0,2
11:27:23.589,47.8,18.4,0.00,-9,-26,0,3
11:27:24.396,44.8,18.6,0.00,0,0,0,0
11:27:25.209,45.9,18.4,0.00,0,0,0,0
11:27:26.029,45.4,18.3,0.00,0,0,0,0
11:27:26.858,42.3,18.1,0.00,0,0,0,0
11:27:27.687,43.7,18.1,0.00,0,0,0,0
11:27:28.608,55.4,16.3,0.00,0,0,0,0
11:27:29.570,63.0,15.6,0.00,0,0,0,0
11:27:30.444,35.4,17.2,0.00,0,0,0,0
11:27:31.219,47.1,19.3,0.00,0,0,0,0
11:27:32.111,56.0,16.8,0.00,0,0,0,0
11:27:32.941,49.4,18.1,0.00,0,0,0,0
11:27:33.865,43.3,16.2,0.00,0,0,0,0
11:27:34.690,59.1,18.2,0.00,0,0,0,0
11:27:35.578,54.5,16.9,0.00,0,0,0,0
11:27:36.509,43.6,16.1,0.00,6,-252,0,37
11:27:37.338,45.1,18.1,0.00,422,252,63,-37
11:27:38.178,42.4,17.9,0.00,42,-244,6,36
11:27:39.056,47.7,17.1,0.00,0,0,0,0
11:27:39.877,44.2,18.3,0.00,-500,159,-75,-23
11:27:40.703,53.5,18.2,0.00,-600,27,-90,-4
11:27:41.538,36.2,18.0,0.00,0,0,0,0
11:27:42.497,62.5,15.6,0.00,0,0,0,0
11:27:43.436,59.9,16.0,0.00,0,0,0,0
11:27:44.261,56.7,18.2,0.00,168,-28,25,4
11:27:45.137,47.3,17.1,0.00,0,0,0,0
11:27:46.042,56.5,16.6,0.00,-20,-120,-3,18
11:27:46.956,58.9,16.4,0.00,0,0,0,0
11:27:47.886,66.7,16.1,0.00,73,28,10,-4
11:27:48.724,45.4,17.9,0.00,0,0,0,0
11:27:49.559,54.5,18.0,0.00,0,0,0,0
11:27:50.467,57.4,16.5,0.00,154,59,23,-8
11:27:51.348,48.2,17.0,0.00,0,0,0,0
11:27:52.203,32.2,17.5,0.00,239,-146,35,21
11:27:53.056,56.2,17.6,0.00,0,0,0,0
11:27:53.959,59.8,16.6,0.00,0,0,0,0
11:27:54.830,56.5,17.2,0.00,170,108,25,-16
11:27:55.688,41.5,17.5,0.00,0,0,0,0
11:27:56.574,69.9,16.9,0.00,-216,-19,-32,2
11:27:57.419,41.0,17.8,0.00,0,0,0,0
11:27:58.311,48.3,16.8,0.00,-621,-148,-93,22
11:27:59.158,50.8,17.7,0.00,0,0,0,0
11:28:00.010,56.8,17.6,0.00,0,0,0,0
11:28:00.858,63.8,17.7,0.00,0,0,0,0
11:28:01.718,55.5,17.4,0.00,0,0,0,0
11:28:02.625,59.4,16.5,0.00,-414,102,-62,-15
11:28:03.446,46.1,18.3,0.00,0,0,0,0
11:28:04.317,60.1,17.2,0.00,0,0,0,0
11:28:05.245,61.2,16.2,0.00,0,0,0,0
11:28:06.089,59.2,17.8,0.00,0,0,0,0
11:28:06.991,37.7,16.6,0.00,-424,96,-63,-14
11:28:07.888,50.9,16.7,0.00,0,0,0,0
