Timestamp,Algo_ms,Loop_ms,FPS,Dist_m,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
16:52:07.663,28.42,30.41,28.02,0.00,0,0,0,0
16:52:08.007,18.83,25.53,29.07,0.00,0,0,0,0
16:52:08.353,18.84,21.70,28.85,0.00,0,0,0,0
16:52:08.692,13.15,15.41,29.49,0.00,-116,127,-17,-31
16:52:09.030,21.91,25.34,29.65,0.00,72,102,10,-25
16:52:09.371,14.56,16.65,29.29,0.00,135,22,20,-5
16:52:09.713,20.58,24.05,29.25,0.00,81,-27,12,6
16:52:10.049,16.16,19.65,29.79,0.00,28,-21,4,5
16:52:10.388,21.60,24.79,29.51,0.00,52,3,7,0
16:52:10.728,14.79,21.65,29.37,0.00,91,15,13,0
16:52:11.073,22.60,26.12,29.02,0.00,155,15,23,0
16:52:11.415,17.02,20.86,29.24,0.00,161,17,24,-4
16:52:11.755,14.69,18.24,29.38,0.00,235,-19,35,4
16:52:12.098,15.14,18.60,29.16,0.00,257,-52,38,13
16:52:12.434,23.40,26.56,29.79,0.00,230,-50,34,12
16:52:12.772,14.10,16.44,29.54,0.00,140,-25,21,6
16:52:13.114,24.58,27.83,29.24,0.00,33,10,4,0
16:52:13.453,15.73,18.07,29.50,0.00,-32,14,-4,0
16:52:13.796,25.82,29.00,29.14,0.00,-48,4,-7,0
16:52:14.136,21.09,28.57,29.44,0.00,-76,-8,-11,0
16:52:14.475,25.58,28.99,29.50,0.00,-135,-13,-20,0
16:52:14.815,14.41,17.56,29.45,0.00,-153,-23,-22,5
16:52:15.163,18.90,22.95,28.70,0.00,-193,-20,-28,5
16:52:15.506,15.11,18.49,29.17,0.00,-243,-4,-36,0
16:52:15.841,20.79,23.41,29.83,0.00,-318,-3,-47,0
16:52:16.189,15.23,18.23,28.76,0.00,-308,-40,-46,10
16:52:16.526,14.63,18.74,29.67,0.00,-203,-45,-30,11
16:52:16.880,24.63,26.57,28.23,0.00,-111,-13,-16,0
16:52:17.219,15.24,18.93,29.52,0.00,-106,6,-15,0
16:52:17.560,16.99,20.74,29.29,0.00,-100,-46,-15,11
16:52:17.902,15.67,19.13,29.28,0.00,-25,-139,-3,34
16:52:18.239,18.73,21.06,29.67,0.00,1,-178,0,44
16:52:18.576,11.59,13.89,29.65,0.00,-9,-114,0,28
16:52:18.913,18.22,21.53,29.63,0.00,-20,-48,-3,12
16:52:19.251,11.60,13.97,29.65,0.00,-30,-23,-4,5
16:52:19.590,18.75,22.07,29.43,0.00,-42,-63,-6,15
16:52:19.928,12.21,14.47,29.65,0.00,-15,-127,0,31
16:52:20.270,11.91,15.45,29.19,0.00,6,-146,0,36
16:52:20.609,13.54,15.97,29.51,0.00,30,-74,4,18
16:52:20.947,17.44,20.83,29.58,0.00,54,7,8,0
16:52:21.287,11.36,13.63,29.44,0.00,82,11,12,0
16:52:21.629,15.82,17.97,29.23,0.00,0,0,0,0
16:52:21.972,10.18,12.47,29.14,0.00,0,0,0,0
16:52:22.310,17.89,19.77,29.60,0.00,0,0,0,0
16:52:22.653,11.63,13.94,29.17,0.00,86,-149,12,37
16:52:22.995,18.36,20.50,29.22,0.00,-7,-97,0,24
16:52:23.338,10.97,13.02,29.14,0.00,16,52,2,-13
16:52:23.679,16.67,18.71,29.35,0.00,117,114,17,-28
16:52:24.018,10.97,13.06,29.49,0.00,213,75,31,-18
16:52:24.355,17.89,20.52,29.66,0.00,241,33,36,-8
16:52:24.692,11.61,13.92,29.64,0.00,224,25,33,-6
16:52:25.035,14.61,16.81,29.23,0.00,217,62,32,-15
16:52:25.372,11.01,13.34,29.65,0.00,201,90,30,-22
16:52:25.708,10.45,13.21,29.77,0.00,162,77,24,-19
16:52:26.047,14.05,16.30,29.49,0.00,143,59,21,-14
16:52:26.387,11.43,14.71,29.43,0.00,149,60,22,-15
16:52:26.722,15.08,19.05,29.80,0.00,136,92,20,-23
16:52:27.069,12.89,15.49,28.85,0.00,130,151,19,-37
16:52:27.413,14.15,16.51,29.09,0.00,102,170,15,-42
16:52:27.750,21.56,25.00,29.65,0.00,62,142,9,-35
16:52:28.092,15.29,17.66,29.23,0.00,28,141,4,-35
16:52:28.440,26.46,28.74,28.72,0.00,11,152,0,-38
16:52:28.779,24.03,27.49,29.48,0.00,11,12,0,0
16:52:29.122,24.42,31.27,29.16,0.00,12,-196,0,49
16:52:29.461,18.98,22.31,29.53,0.00,0,0,0,0
16:52:29.800,23.19,25.31,29.50,0.00,0,0,0,0
16:52:30.138,19.04,22.49,29.55,0.00,0,0,0,0
16:52:30.486,21.14,26.00,28.76,0.00,0,0,0,0
16:52:30.833,31.73,35.11,28.84,0.00,0,0,0,0
16:52:31.175,22.58,25.15,29.24,0.00,0,0,0,0
16:52:31.514,26.30,29.36,29.49,0.00,0,0,0,0
16:52:31.853,26.21,29.40,29.50,0.00,0,0,0,0
16:52:32.192,27.78,31.43,29.52,0.00,-38,-167,-5,41
16:52:32.531,15.86,20.28,29.45,0.00,-39,-52,-5,13
16:52:32.869,24.61,27.65,29.58,0.00,-32,41,-4,-10
16:52:33.205,20.67,29.24,29.74,0.00,-30,-34,-4,8
16:52:33.544,17.36,21.41,29.57,0.00,-15,-147,0,36
16:52:33.886,18.74,24.38,29.23,0.00,0,0,0,0
16:52:34.221,15.11,18.42,29.82,0.00,-79,-191,-11,47
16:52:34.561,21.57,23.81,29.40,0.00,0,0,0,0
16:52:34.901,22.56,26.05,29.42,0.00,-194,-185,-29,46
16:52:35.242,26.46,32.15,29.30,0.00,-241,-190,-36,47
16:52:35.586,10.62,12.62,29.12,0.00,-203,-31,-30,7
16:52:35.924,12.56,16.59,29.60,0.00,-215,59,-32,-14
16:52:36.263,12.16,15.48,29.43,0.00,-235,44,-35,-11
16:52:36.605,17.70,21.84,29.24,0.00,-195,13,-29,0
16:52:36.949,18.28,21.61,29.12,0.00,-174,-17,-26,4
16:52:37.290,13.01,15.21,29.28,0.00,-165,-18,-24,4
16:52:37.628,18.04,21.03,29.61,0.00,-170,5,-25,0
16:52:37.968,12.43,14.57,29.42,0.00,-187,40,-28,-10
16:52:38.313,18.02,20.38,29.00,0.00,-210,67,-31,-16
16:52:38.648,11.50,13.69,29.83,0.00,-226,105,-33,-26
16:52:38.988,11.24,14.66,29.44,0.00,-200,126,-30,-31
16:52:39.323,14.55,18.72,29.80,0.00,-142,93,-21,-23
16:52:39.661,10.76,12.77,29.65,0.00,-106,73,-15,-18
16:52:40.001,17.34,21.27,29.36,0.00,-68,75,-10,-18
16:52:40.343,12.53,15.59,29.24,0.00,-7,35,0,-8
16:52:40.683,19.44,23.49,29.43,0.00,22,13,3,0
16:52:41.026,22.62,25.04,29.19,0.00,22,27,3,-6
16:52:41.365,14.79,21.05,29.50,0.00,2,47,0,-11
16:52:41.702,13.54,15.63,29.65,0.00,-3,3,0,0
16:52:42.049,14.62,16.73,28.79,0.00,20,-63,3,15
16:52:42.395,13.81,15.81,28.92,0.00,59,-88,8,22
16:52:42.736,12.56,15.43,29.36,0.00,108,19,16,-4
16:52:43.071,21.77,25.37,29.79,0.00,131,118,19,-29
16:52:43.422,11.91,14.36,28.50,0.00,137,125,20,-31
16:52:43.762,14.44,18.95,29.45,0.00,142,32,21,-8
16:52:44.100,12.08,14.21,29.55,0.00,164,-130,24,32
16:52:44.443,15.28,19.46,29.22,0.00,0,0,0,0
16:52:44.780,12.27,14.39,29.66,0.00,147,-152,22,38
16:52:45.115,14.86,17.24,29.79,0.00,0,0,0,0
16:52:45.460,12.12,14.37,29.02,0.00,121,-156,18,39
16:52:45.799,13.01,16.43,29.48,0.00,83,-143,12,35
16:52:46.136,12.15,14.38,29.68,0.00,55,-103,8,25
16:52:46.473,19.53,22.46,29.65,0.00,73,-80,10,20
16:52:46.813,11.86,14.25,29.49,0.00,82,-68,12,17
16:52:47.151,16.52,19.39,29.58,0.00,67,-79,10,19
16:52:47.488,12.16,14.30,29.64,0.00,29,-90,4,22
16:52:47.826,11.99,14.93,29.58,0.00,17,-65,2,16
16:52:48.165,12.33,16.12,29.51,0.00,-1,-33,0,8
16:52:48.508,10.97,17.22,29.19,0.00,45,37,6,-9
16:52:48.843,13.50,17.64,29.79,0.00,112,88,16,-22
16:52:49.182,10.91,13.04,29.49,0.00,167,92,25,-23
16:52:49.520,17.99,20.17,29.66,0.00,187,66,28,-16
16:52:49.860,10.63,12.95,29.39,0.00,194,23,29,-5
16:52:50.197,11.19,13.19,29.65,0.00,200,57,30,-14
16:52:50.532,10.92,13.23,29.82,0.00,132,87,19,-21
16:52:50.874,12.99,15.67,29.28,0.00,58,69,8,-17
16:52:51.211,11.78,14.07,29.66,0.00,25,62,3,-15
16:52:51.552,19.26,22.42,29.33,0.00,21,82,3,-20
16:52:51.892,13.00,15.33,29.47,0.00,27,128,4,-32
16:52:52.233,25.48,28.78,29.31,0.00,-3,112,0,-28
16:52:52.573,14.15,16.35,29.40,0.00,-85,42,-12,-10
16:52:52.909,28.79,32.30,29.71,0.00,-148,-10,-22,0
16:52:53.257,15.65,22.28,28.77,0.00,-188,-6,-28,0
16:52:53.606,15.06,19.02,28.69,0.00,-183,52,-27,-13
16:52:53.945,15.40,18.87,29.47,0.00,-140,42,-21,-10
16:52:54.287,17.44,21.20,29.23,0.00,-65,2,-9,0
16:52:54.626,18.90,22.02,29.50,0.00,-11,-29,0,7
16:52:54.963,18.26,23.49,29.65,0.00,5,-33,0,8
16:52:55.302,15.49,18.88,29.50,0.00,6,-12,0,0
16:52:55.643,16.65,21.02,29.35,0.00,18,5,2,0
16:52:55.980,16.31,19.57,29.68,0.00,65,42,9,-10
16:52:56.325,18.25,23.61,28.95,0.00,90,80,13,-20
16:52:56.663,13.31,16.01,29.66,0.00,62,43,9,-10
16:52:57.002,28.19,30.34,29.48,0.00,11,17,0,-4
16:52:57.337,18.26,21.21,29.83,0.00,-18,1,-2,0
16:52:57.673,25.63,29.05,29.79,0.00,-20,-4,-3,0
16:52:58.020,17.22,20.86,28.84,0.00,38,-45,5,11
16:52:58.364,16.21,20.72,29.02,0.00,90,-63,13,15
16:52:58.713,22.37,25.68,28.69,0.00,119,-31,17,7
16:52:59.058,14.76,17.14,28.96,0.00,126,28,18,-7
16:52:59.401,25.07,27.14,29.13,0.00,76,33,11,-8
16:52:59.741,22.20,25.71,29.43,0.00,22,14,3,0
16:53:00.083,27.34,30.94,29.23,0.00,-80,-13,-12,0
16:53:00.432,18.87,22.36,28.71,0.00,-227,-64,-34,16
16:53:00.776,17.89,22.33,29.00,0.00,-266,-95,-39,23
16:53:01.126,15.90,20.09,28.60,0.00,-245,-77,-36,19
16:53:01.465,13.79,17.30,29.49,0.00,-140,-10,-21,0
16:53:01.804,18.71,23.07,29.51,0.00,-63,28,-9,-7
16:53:02.144,20.75,23.91,29.40,0.00,-13,26,0,-6
16:53:02.485,16.16,21.11,29.31,0.00,2,7,0,0
16:53:02.831,24.60,28.22,28.97,0.00,1,-20,0,5
