Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw
16:43:14.565,21.78,23.97,27.23,0.000,0.000,0.000,0.00,0.00,0.00
16:43:14.921,23.68,28.10,28.09,0.000,0.000,0.000,0.00,0.00,0.00
16:43:15.280,17.61,19.35,27.82,0.000,0.000,0.000,0.00,0.00,0.00
16:43:15.620,17.90,19.51,29.48,0.000,0.000,0.000,0.00,0.00,0.00
16:43:15.962,14.63,17.35,29.21,0.000,0.000,0.000,0.00,0.00,0.00
16:43:16.308,17.32,19.43,28.93,0.000,0.000,0.000,0.00,0.00,0.00
16:43:16.653,13.70,15.30,28.95,0.000,0.000,0.000,0.00,0.00,0.00
16:43:17.005,16.29,18.06,28.39,0.000,0.000,0.000,0.00,0.00,0.00
16:43:17.346,16.55,19.47,29.36,0.000,0.000,0.000,0.00,0.00,0.00
16:43:17.684,17.63,20.14,29.60,0.000,0.000,0.000,0.00,0.00,0.00
16:43:18.021,14.60,16.40,29.68,0.000,0.000,0.000,0.00,0.00,0.00
16:43:18.364,19.17,21.13,29.17,0.000,0.000,0.000,0.00,0.00,0.00
16:43:18.702,14.18,15.97,29.57,0.000,0.000,0.000,0.00,0.00,0.00
16:43:19.037,20.29,23.39,29.80,0.000,0.000,0.000,0.00,0.00,0.00
16:43:19.379,13.63,15.29,29.29,0.000,0.000,0.000,0.00,0.00,0.00
16:43:19.721,22.57,24.56,29.24,0.000,0.000,0.000,0.00,0.00,0.00
16:43:20.058,14.82,16.51,29.68,0.000,0.000,0.000,0.00,0.00,0.00
16:43:20.397,30.12,32.22,29.47,-0.213,0.290,0.760,104.46,-28.86,-3.96
16:43:20.736,13.60,17.11,29.53,0.000,0.000,0.000,0.00,0.00,0.00
16:43:21.084,20.17,22.22,28.71,0.006,-0.087,0.561,-158.22,22.10,-6.84
16:43:21.420,29.89,33.97,29.70,0.038,-0.086,0.530,-161.17,20.48,2.91
16:43:21.762,19.29,23.91,29.29,0.014,-0.011,0.549,-171.15,21.06,0.82
16:43:22.104,14.95,16.80,29.21,0.021,0.022,0.528,-168.67,16.44,3.10
16:43:22.447,16.68,20.46,29.19,0.188,-0.027,0.475,173.59,6.59,5.24
16:43:22.788,18.51,22.35,29.29,0.198,-0.019,0.509,178.84,6.41,7.70
16:43:23.138,15.03,17.80,28.57,0.073,0.013,0.517,179.00,-8.68,7.42
16:43:23.478,23.56,25.93,29.47,-0.006,0.019,0.515,174.43,-12.36,8.00
16:43:23.816,22.23,25.49,29.57,-0.042,0.010,0.513,172.70,-20.42,11.01
16:43:24.155,23.14,27.15,29.43,-0.171,0.027,0.467,170.09,-12.41,1.30
16:43:24.494,16.84,21.37,29.56,-0.232,0.054,0.464,-165.74,-6.04,-7.59
16:43:24.834,18.92,22.56,29.37,-0.171,0.027,0.534,-162.48,16.57,-3.38
16:43:25.183,15.56,18.88,28.71,-0.151,0.006,0.665,-173.81,35.96,-7.60
16:43:25.524,18.81,21.59,29.24,-0.135,0.018,0.686,-138.69,16.49,3.26
16:43:25.860,15.42,17.05,29.80,0.000,0.000,0.000,0.00,0.00,0.00
16:43:26.203,16.94,20.68,29.13,0.000,0.000,0.000,0.00,0.00,0.00
16:43:26.544,17.06,20.83,29.34,-0.075,0.010,0.677,-149.95,16.38,-5.33
16:43:26.888,24.72,27.69,29.07,-0.029,-0.031,0.694,-159.80,17.09,4.50
16:43:27.226,20.05,23.63,29.62,0.019,-0.042,0.645,-162.05,18.75,6.84
16:43:27.561,20.45,24.55,29.80,0.056,-0.008,0.591,-166.58,29.27,7.15
16:43:27.900,15.40,19.49,29.51,0.096,0.016,0.524,-165.85,31.56,13.46
16:43:28.243,18.99,21.84,29.13,0.162,0.034,0.486,-179.50,33.74,5.87
16:43:28.591,19.14,22.09,28.81,0.158,0.034,0.484,177.04,23.05,2.24
16:43:28.926,16.99,21.63,29.78,0.066,0.007,0.492,-171.51,6.59,3.28
16:43:29.262,19.27,22.95,29.83,-0.073,-0.001,0.474,-176.23,-0.31,1.78
16:43:29.606,17.70,20.14,29.01,-0.177,0.012,0.445,-163.78,-7.22,-5.32
16:43:29.950,19.48,23.58,29.12,-0.177,0.003,0.488,-164.93,-10.65,-1.15
16:43:30.291,17.21,20.97,29.32,-0.111,-0.006,0.534,-168.15,4.15,-0.16
16:43:30.627,24.59,27.93,29.79,-0.058,-0.004,0.540,-170.09,11.70,-1.83
16:43:30.962,20.04,24.37,29.79,-0.020,0.001,0.536,-168.76,10.53,-0.62
16:43:31.310,31.97,35.76,28.72,-0.025,0.014,0.527,-178.69,-2.17,-3.58
16:43:31.647,21.38,25.84,29.67,-0.015,0.014,0.490,-157.65,2.21,-2.59
16:43:31.983,22.82,26.37,29.82,0.016,0.006,0.453,-155.62,-3.47,-1.18
16:43:32.327,24.01,28.68,29.03,0.006,-0.001,0.462,-157.25,-2.82,-0.19
16:43:32.668,19.63,23.09,29.37,0.031,-0.018,0.435,-159.72,-7.15,2.47
16:43:33.011,20.66,24.98,29.11,0.047,-0.026,0.414,-161.46,-22.59,2.85
16:43:33.349,22.07,25.34,29.63,0.026,-0.014,0.440,-175.48,-15.17,7.24
16:43:33.688,15.69,18.45,29.44,0.015,0.006,0.427,-171.82,-23.40,8.85
16:43:34.024,14.62,18.32,29.81,-0.004,0.007,0.436,-175.35,-22.51,9.84
16:43:34.359,17.22,20.46,29.79,-0.009,0.007,0.437,-174.55,-23.97,9.73
