Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw,Yaw_Cmd,Pitch_Cmd
09:20:17.730,24.43,26.25,27.91,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:20:18.089,33.40,43.91,27.87,-0.209,0.029,0.564,-172.70,25.38,-34.56,-35,-7
09:20:18.433,19.69,24.35,29.07,-0.151,0.018,0.524,-166.22,14.78,-28.91,-27,-4
09:20:18.776,23.77,27.41,29.12,0.048,-0.021,0.514,-166.22,12.11,-11.21,13,9
09:20:19.122,26.41,29.73,28.91,0.137,-0.023,0.497,-167.82,7.73,-4.44,32,10
09:20:19.459,26.01,28.77,29.65,0.133,-0.005,0.492,-164.92,-1.36,0.80,32,4
09:20:19.805,12.71,16.89,28.93,0.038,0.011,0.515,-165.68,-8.95,-0.96,11,0
09:20:20.146,21.32,25.36,29.31,-0.028,0.014,0.525,-169.44,-15.27,-1.23,-2,0
09:20:20.496,21.61,24.95,28.60,-0.049,0.013,0.528,-172.42,-15.40,0.28,-6,0
09:20:20.832,15.38,20.95,29.76,-0.041,0.014,0.530,-170.92,-13.26,0.24,-5,0
09:20:21.180,22.20,25.74,28.76,-0.006,0.016,0.521,-172.21,-13.89,2.19,0,0
09:20:21.520,16.50,21.89,29.38,-0.004,0.014,0.532,-173.48,-10.64,2.32,2,0
09:20:21.859,24.47,28.02,29.51,-0.008,0.014,0.534,-174.04,-11.12,2.22,0,0
09:20:22.196,15.27,21.19,29.65,-0.013,0.013,0.535,-177.22,-10.24,2.38,0,0
09:20:22.541,23.34,27.08,28.95,-0.011,0.013,0.538,-175.43,-12.22,2.82,0,0
09:20:22.884,13.77,16.66,29.20,-0.008,0.013,0.538,-174.83,-10.22,2.64,0,0
09:20:23.228,22.76,27.00,29.05,-0.006,0.014,0.541,-176.25,-11.73,2.90,0,0
09:20:23.568,27.61,30.30,29.43,0.031,0.017,0.547,-176.37,-12.46,5.39,9,0
09:20:23.908,27.91,32.65,29.43,0.056,0.022,0.532,-171.53,-15.92,7.32,14,-5
09:20:24.253,26.88,30.24,28.98,0.025,0.014,0.539,-171.89,-18.62,7.00,8,0
09:20:24.605,19.59,25.27,28.40,-0.018,0.004,0.539,-170.22,-21.13,5.31,0,0
09:20:24.953,15.45,20.82,28.74,-0.129,-0.002,0.537,-170.41,-16.61,-2.70,-22,0
09:20:25.290,21.79,24.73,29.70,-0.166,-0.000,0.545,-171.80,-6.87,-8.36,-29,0
